sighting_id,timestamp,camera_id,image_id,species,latitude,longitude,zone,status,detection_method,confidence_score,review_status,location_visibility
AS024,2026-08-26 10:15,CAM024,IMG024,Asian Elephant,26.555,93.201,Village Edge,Alert,Drone Thermal,0.95,Pending,Approximate
AS025,2026-08-26 11:40,CAM025,IMG025,Wild Water Buffalo,26.601,93.188,Core Zone,Observed,Camera Trap AI,0.92,Verified,Restricted
AS026,2026-08-26 13:00,CAM026,IMG026,Golden Jackal,26.574,93.162,Buffer Zone,Observed,Camera Trap AI,0.84,Verified,Restricted
AS027,2026-08-26 14:25,CAM027,IMG027,Asian Elephant,26.56,93.207,Safari Route Edge,Alert,Drone Thermal,0.97,Pending,Approximate
AS028,2026-08-26 15:10,CAM028,IMG028,Leopard,26.548,93.185,Buffer Zone,Active,Camera Trap AI,0.88,Verified,Restricted
AS029,2026-08-26 16:05,CAM029,IMG029,Spotted Deer,26.58,93.195,Core Zone,Observed,Camera Trap AI,0.93,Verified,Restricted
AS030,2026-08-26 17:30,CAM030,IMG030,Indian Rhinoceros,26.595,93.15,Core Zone,Active,Camera Trap AI,0.95,Verified,Restricted
AS031,2026-08-26 18:20,CAM031,IMG031,Wild Boar,26.568,93.199,Farmland Edge,Alert,Camera Trap AI,0.9,Pending,Approximate
AS032,2026-08-26 19:05,CAM032,IMG032,Asian Elephant,26.552,93.214,Village Edge,Alert,Drone Thermal,0.96,Needs Review,Approximate
AS033,2026-08-26 20:10,CAM033,IMG033,Wild Water Buffalo,26.603,93.169,Core Zone,Observed,Camera Trap AI,0.87,Verified,Restricted
AS034,2026-08-26 21:00,CAM034,IMG034,Leopard,26.557,93.204,Village Edge,Alert,Ranger Report,0.94,Pending,Approximate
AS035,2026-08-26 22:15,CAM035,IMG035,Spotted Deer,26.575,93.174,Buffer Zone,Observed,Camera Trap AI,0.82,Verified,Restricted
AS036,2026-08-26 23:00,CAM036,IMG036,Asian Elephant,26.565,93.193,Farmland Edge,Alert,Ranger Report,0.91,Needs Review,Approximate
AS037,2026-08-27 5:40,CAM037,IMG037,Wild Boar,26.57,93.188,Farmland Edge,Active,Camera Trap AI,0.88,Pending,Approximate
AS038,2026-08-27 6:25,CAM038,IMG038,Spotted Deer,26.584,93.178,Core Zone,Observed,Camera Trap AI,0.9,Verified,Restricted
